municipality,18-24M,18-25K,25-44M,25-45K,45-64M,45-65K,65+M,65+K
Odsherred,0.09093454629,0.05248212753,0.0557532327,0.01380584191,-0.07300708577,-0.0532683708,-0.04717554985,-0.039524742
Ringsted,0.1059371863,0.03626174142,0.08338237807,-0.0007948597395,0.01149238197,-0.07276079608,-0.0483708586,-0.1151471733
Slagelse,0.1383537485,0.04867446166,0.0318470149,0.03438991894,-0.03367226352,-0.07527992998,-0.03691599076,-0.1073969597
Sorø,0.1442799747,0.09008688944,0.03863591073,-0.02369435486,-0.07100678188,-0.008880079711,-0.09279160462,-0.07662995382
Stevns,0.1931730157,0.005913327583,0.159740409,-0.03259728246,-0.09288992489,-0.09061381711,-0.04831557088,-0.0944101569
Vordingborg,0.1130364109,0.04477240678,0.1412854095,-0.00886997392,-0.09358757579,-0.04055842513,-0.05692825025,-0.09915000217
Assens,0.1824960028,0.0926617766,0.04927468594,-0.04750709227,-0.02039448815,-0.136367729,-0.06331377632,-0.05684937959
Faaborg-Midtfyn,0.1513521389,0.05651079421,-0.01124341647,-0.02088489657,-0.0249142981,-0.051041793,-0.03049166476,-0.06928686423
Kerteminde,0.2904884516,0.02193286848,0.07133343335,-0.03266497512,0.01621670983,-0.1319634599,-0.09415795344,-0.1411850748
Langeland,0.07048468716,0.04444111128,0.1283721476,0.03492714443,0.03381204465,-0.1537327025,-0.08281343074,-0.07549100188
Middelfart,0.1610016576,0.06433328868,0.03300561763,0.01277611352,-0.1096486632,-0.07545516807,-0.01672344383,-0.06928940232
Nordfyns,0.1410585093,0.1093786002,0.100812853,-0.05856438716,-0.08258183902,-0.03406992513,-0.06684352526,-0.1091902858
Nyborg,0.1420887336,0.07936531147,0.05443838416,-0.02308105992,-0.06063416861,-0.07890827204,-0.07137126452,-0.04189766411
Odense,0.1105269005,0.03203766882,0.05564830415,0.005523579345,-0.06295284131,-0.06158123449,-0.007823018996,-0.07137935805
Svendborg,0.167946172,0.06042033348,0.04594355425,0.06570527837,-0.06456875309,-0.08717022633,-0.08653616559,-0.1017401931
Ærø,0.1483488122,0.07316522363,0.09327628411,-0.0768309453,0.1778580733,-0.004048827897,-0.188905647,-0.222862973
Billund,0.1257953167,-0.006669286128,0.1094254074,-0.06550462542,-0.03882231092,-0.07385674304,-0.01013748725,-0.04023027132
Esbjerg,0.09494120906,0.07743212667,0.03188814099,-0.01848387169,-0.03363155192,-0.06237114556,-0.03461101382,-0.05516389373
Fanø,0.9782913482,-0.01650762064,-0.09624168966,-0.09764370675,-0.1914883994,-0.2004884447,-0.1747094207,-0.2012120664
Fredericia,0.1527814276,0.0652242017,0.01465484354,-0.03957462873,-0.1058819785,0.001337577055,-0.03684192616,-0.05169951654
Haderslev,0.1353661591,0.08112999676,0.06997969155,-0.03217101515,-0.09007595375,-0.04044956125,-0.05726239221,-0.06651692505
Kolding,0.1212640604,0.03669275598,0.03155140735,-0.04503184211,-0.01702013509,-0.05930127109,-0.03650429149,-0.03165068399
Sønderborg,0.1162170638,0.05270647306,0.0468913766,0.07317380581,-0.02710929391,-0.05956828507,-0.1003214891,-0.1019896512
Tønder,0.1546111722,0.08020336407,0.03490949819,0.03217360347,-0.1019078782,-0.07816380328,-0.04936274725,-0.07246320926
Varde,0.1298835996,0.04117716572,0.05972432518,0.02948985954,-0.07452930195,-0.06871065146,-0.06376838739,-0.05326660927
Vejen,0.1098765234,0.0463793376,0.09513014024,0.001217285675,-0.03733752304,-0.08593386662,-0.04362816878,-0.08570372843
Vejle,0.1692582135,0.02737987922,0.0549028033,-0.06791349896,-0.06066841995,-0.05085107227,-0.0176379022,-0.05447000263
Aabenraa,0.1284122287,0.07775112611,0.08463903183,-0.008896464472,-0.1063220889,-0.05456573578,-0.03843149682,-0.08258660065
Favrskov,0.107041086,0.05291017844,0.06936598654,-0.02878945376,-0.05218393699,-0.0533184088,-0.03493462872,-0.06009082266
